자격증 종류,문제번호,언어,문제,항목,정답여부,참고자료,키워드
GAIQ,1,EN,"Which of the following tools could you use in order to collect and send data from a

mobile app to a Google Analytics 4 property?", Firebase SDK,O,,
GAIQ,1,EN,"Which of the following tools could you use in order to collect and send data from a

mobile app to a Google Analytics 4 property?",Google Marketing Platform,X,,
GAIQ,1,EN,"Which of the following tools could you use in order to collect and send data from a

mobile app to a Google Analytics 4 property?",Google Ads,X,,
GAIQ,1,EN,"Which of the following tools could you use in order to collect and send data from a

mobile app to a Google Analytics 4 property?",Website tag,X,,
GAIQ,2,EN,You would like to export your Google Analytics data to BigQuery to run queries and ombine some of your offline data with Analytics data. What type of Analytics property can export data to BigQuery?,Only Analytics 360 properties in GA4 or Universal Analytics,X,,
GAIQ,2,EN,You would like to export your Google Analytics data to BigQuery to run queries and ombine some of your offline data with Analytics data. What type of Analytics property can export data to BigQuery?,Standard or Analytics 360 properties using GA4,O,,
GAIQ,2,EN,You would like to export your Google Analytics data to BigQuery to run queries and ombine some of your offline data with Analytics data. What type of Analytics property can export data to BigQuery?,Standard or Analytics 360 properties using Universal Analytics,X,,
GAIQ,2,EN,You would like to export your Google Analytics data to BigQuery to run queries and ombine some of your offline data with Analytics data. What type of Analytics property can export data to BigQuery?,Only Standard properties in GA4 or Universal Analytics,X,,
GAIQ,3,EN,"You collect data or your point-of-sale system that could complement the data you

are sending to Google Analytics from your website and app.

Which of these features allows you to collect and send events directly to Google

Analytics servers?",Modify event,X,,
GAIQ,3,EN,"You collect data or your point-of-sale system that could complement the data you

are sending to Google Analytics from your website and app.

Which of these features allows you to collect and send events directly to Google

Analytics servers?",Measurement Protocol,O,,
GAIQ,3,EN,"You collect data or your point-of-sale system that could complement the data you

are sending to Google Analytics from your website and app.

Which of these features allows you to collect and send events directly to Google

Analytics servers?",HTTP request,X,,
GAIQ,3,EN,"You collect data or your point-of-sale system that could complement the data you

are sending to Google Analytics from your website and app.

Which of these features allows you to collect and send events directly to Google

Analytics servers?",Data import,X,,
GAIQ,4,EN,"You have many events on your website that are very valuable, like when users purchase items or sign up for your newsletter. You would like to mark these events as important and assign a value to these events when they happen.

What should you mark these events as in your Google Analytics 4 property?",Conversion events,O,,
GAIQ,4,EN,"You have many events on your website that are very valuable, like when users purchase items or sign up for your newsletter. You would like to mark these events as important and assign a value to these events when they happen.

What should you mark these events as in your Google Analytics 4 property?",Custom events,X,,
GAIQ,4,EN,"You have many events on your website that are very valuable, like when users purchase items or sign up for your newsletter. You would like to mark these events as important and assign a value to these events when they happen.

What should you mark these events as in your Google Analytics 4 property?",Goals,X,,
GAIQ,4,EN,"You have many events on your website that are very valuable, like when users purchase items or sign up for your newsletter. You would like to mark these events as important and assign a value to these events when they happen.

What should you mark these events as in your Google Analytics 4 property?",Recommended events,X,,
